;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
DateTime;;;;;;;;;;;;;;;;;;;;;;;;
;PM10;PM2.5;Vel Viento;Precipitacion;Dir Viento;OZONO;CO;NO;NO2;NOX;SO2;Temperatura;Rad Solar;HR;;;;;;;;;;
;µg/m3;µg/m3;m/s;mm;Grados;ppb;ppm;ppb;ppb;ppb;ppb;°C;W/M²;%;;;;;;;;;;
01-01-2023 03:32;21;16;0,4;0;308;2,9;1,2;32,7;7;39,7;3;10,2;0;69,9;;;;;;;;;;
01-01-2023 04:32;25;22;1;0;274;3,1;1,3;36,1;8,8;45;5,6;10,3;0;74,2;;;;;;;;;;
01-01-2023 05:32;59;28;0,7;0;319;3,2;1;21;10,8;31,8;10,4;9,9;0;76,3;;;;;;;;;;
01-01-2023 06:32;34;25;0,5;0;18;3,1;1,2;28,1;11;39,1;9,8;9,6;0;76,3;;;;;;;;;;
01-01-2023 01:33;35;19;0,4;0;101;3,2;1,2;25,6;10,1;35,7;7,7;9,1;6;77,6;;;;;;;;;;
01-01-2023 02:33;38;31;0,3;0;148;4,1;1,4;46,5;10,7;57,3;8,4;10,8;56;78,1;;;;;;;;;;
01-01-2023 03:33;61;30;0,5;0;70;6,7;1,4;35,8;16;51,7;9,8;13,3;157;68,9;;;;;;;;;;
01-01-2023 04:33;62;25;0,6;0;221;13,1;1,3;18,8;17,2;36;5,9;16,3;219;57,5;;;;;;;;;;
01-01-2023 05:33;49;8;0,6;0;178;17;0,9;4,5;4,3;8,8;2,9;17,3;195;51,9;;;;;;;;;;
01-01-2023 06:33;15;11;0,4;0;8;20,4;0,9;6,6;1,9;8,5;2,1;19,1;353;46,5;;;;;;;;;;
01-01-2023 01:34;17;13;0,5;0;351;21,5;1,1;9;8;17;1,7;19,1;239;45;;;;;;;;;;
01-01-2023 02:34;20;19;0,8;0;302;17,6;1,3;11,6;11,9;23,4;2,9;17,6;132;51,6;;;;;;;;;;
