;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
DateTime;;;;;;;;;;;;;;;;;;;;;;;
;PM10;PM2.5;Vel Viento;Precipitacion;Dir Viento;OZONO;CO;NO;NO2;NOX;;Temperatura;Rad Solar;HR;;;;;;;;BBP;BC ug/m3
;µg/m3;µg/m3;m/s;mm;Grados;ppb;ppm;ppb;ppb;ppb;;°C;W/M²;%;;;;;;;;%;µg/m3
01-01-2023 02:19;41;27;1,5;0;285;12,3;0,4;3,6;13,3;16,9;;19;335;56;;;;;;;;0;0
01-01-2023 03:19;35;29;2,2;0;308;10;0,4;3;13,1;16,1;;18;257;63;;;;;;;;0;0
01-01-2023 04:19;39;25;2,4;0;331;8,8;0,4;2;13,6;15,7;;16,5;107;68;;;;;;;;0;0
01-01-2023 05:19;27;18;1,5;0;356;6,7;0,4;2,3;14,7;17;;14,6;22;74;;;;;;;;0;0
01-01-2023 06:19;0;30;1,6;0,1;92;5,1;0,5;4,3;13,7;18;;12,7;0;78;;;;;;;;0;0
01-01-2023 07:19;16;16;2,5;2,3;100;4,7;0,5;5;11,9;16,9;;11,5;0;83;;;;;;;;0;0
01-01-2023 01:20;6;6;2,4;2,5;89;4,3;0,4;3,6;10;13,6;;11;0;86;;;;;;;;0;0
01-01-2023 02:20;13;5;2,3;3,3;88;4,6;0,3;2,8;8,9;11,6;;10,7;0;87;;;;;;;;0;0
01-01-2023 03:20;10;10;2,3;3,7;100;4,9;0,3;2,7;8,2;11;;10,5;0;88;;;;;;;;0;0
01-01-2023 04:20;10;6;2,2;1,3;103;4,6;0,2;2,1;7,4;9,4;;10,5;0;90;;;;;;;;0;0
01-01-2023 05:20;17;12;1,6;0,8;99;4,3;0,2;1,7;7,8;9,5;;10,5;0;90;;;;;;;;0;0
01-01-2023 06:20;0;11;1,3;0,2;95;5,5;0,2;1,1;7,5;8,6;;10,7;0;88;;;;;;;;0;0
01-01-2023 07:20;0;12;1,3;0,1;95;6,9;0,2;0,4;6,8;7,2;;11;0;83;;;;;;;;0;0
01-01-2023 01:21;7;7;1,5;0;99;6,9;0,1;0,4;6;6,3;;11;0;82;;;;;;;;0;0
01-01-2023 02:21;12;2;1,5;0;106;4,8;0,2;1,4;5,9;7,3;;10,6;0;84;;;;;;;;0;0
01-01-2023 03:21;13;3;1,4;0;109;2,2;0,2;4;7,6;11,6;;10,4;0;86;;;;;;;;0;0
01-01-2023 04:21;15;15;1,4;0;105;1,4;0,3;7,2;8,8;15,9;;10,3;8;85;;;;;;;;0;0
01-01-2023 05:21;23;15;1,1;0;107;0,8;0,5;13,5;10,4;23,9;;10,7;43;84;;;;;;;;0;0
01-01-2023 06:21;19;16;0,4;0;94;2;0,6;16,1;12,9;29;;12,9;196;76;;;;;;;;0;0
01-01-2023 07:21;21;19;0,5;0;25;4,5;0,5;11,6;16,6;28,2;;15,2;257;66;;;;;;;;0;0
01-01-2023 01:22;22;21;0,6;0;17;6,3;0,5;8,5;19,1;27,6;;16;206;61;;;;;;;;0;0
01-01-2023 02:22;30;20;0,8;0;335;7,5;0,5;6,9;19;25,9;;16,6;214;60;;;;;;;;0;0
01-01-2023 03:22;30;22;0,7;0;356;7;0,5;4,9;18,8;23,8;;16;118;63;;;;;;;;0;0
01-01-2023 04:22;24;14;0,6;1,3;55;4,3;0,5;4,8;18,4;23,2;;14,4;24;71;;;;;;;;0;0
01-01-2023 05:22;27;15;0,4;1,5;50;2,5;0,6;7;19;26,1;;13,2;27;81;;;;;;;;0;0
01-01-2023 06:22;34;13;0,6;0,1;349;2,2;0,7;8,7;23,8;32,5;;12,7;32;86;;;;;;;;0;0
01-01-2023 07:22;30;25;0,5;0;299;1,4;0,9;13,4;27,1;40,5;;12,6;21;86;;;;;;;;0;0
01-01-2023 01:23;34;29;0,4;0;255;0,5;1;15,8;29,5;45,4;;12,4;11;86;;;;;;;;0;0
01-01-2023 02:23;30;30;0,3;0;313;0;1,1;15;32,2;47,2;;12;3;87;;;;;;;;0;0
01-01-2023 03:23;32;30;0,1;0;348;0;1,2;20,6;31;51,7;;11,6;0;88;;;;;;;;0;0
01-01-2023 04:23;30;27;0,6;0;107;0;1,1;22,9;22,9;45,8;;11,6;0;86;;;;;;;;0;0
01-01-2023 05:23;24;11;1,3;0;110;0,3;0,8;16,9;13,7;30,6;;11,6;0;83;;;;;;;;0;0
01-01-2023 06:23;16;9;1,1;0;101;1;0,5;9,5;11,2;20,7;;11,5;0;81;;;;;;;;0;0
01-01-2023 07:23;23;13;0,4;0;68;0,7;0,5;5,9;15,8;21,7;;11,5;0;83;;;;;;;;0;0
01-01-2023 01:24;25;25;0,2;0;356;0;0,5;5,8;20,7;26,6;;11,4;0;86;;;;;;;;0;0
01-01-2023 02:24;24;18;0,1;0;50;0;0,5;5,1;18,9;24;;11,2;0;87;;;;;;;;0;0
01-01-2023 03:24;24;17;0,4;0;108;0;0,4;5,1;14,8;19,9;;11;0;87;;;;;;;;0;0
01-01-2023 04:24;19;19;0,6;0;106;0;0,3;4,5;11,1;15,6;;10,8;0;87;;;;;;;;0;0
01-01-2023 05:24;20;18;0,6;0;106;0,1;0,3;3,6;10,2;13,8;;10,7;0;87;;;;;;;;0;0
01-01-2023 06:24;17;11;0,9;0;112;0,3;0,3;4,5;9,9;14,4;;10,7;0;87;;;;;;;;0;0
01-01-2023 07:24;23;9;0,7;0;109;0;0,4;9,4;10,6;20;;10,8;1;87;;;;;;;;0;0
01-01-2023 01:25;27;6;0,4;0;109;0;0,6;16,8;13,6;30,3;;11,2;20;87;;;;;;;;0;0
01-01-2023 02:25;15;0;0,6;0;106;2,4;0,5;15,4;14,1;29,5;;12,5;106;79;;;;;;;;0;0
01-01-2023 03:25;9;5;1,4;0;111;6,4;0,3;6,8;9,8;16,6;;15,1;364;64;;;;;;;;0;0
01-01-2023 04:25;0;11;1,8;0;125;8,5;0,2;2,7;5,8;8,5;;16,4;432;56;;;;;;;;0;0
