;;;;;;;;;;
;;;;;;;;;;
DateTime;;;;;;;;;;
;PM10;PM2.5;Vel Viento;Precipitacion;Dir Viento;OZONO;CO;NO;NO2;NOX
;µg/m3;µg/m3;m/s;mm;Grados;ppb;ppm;ppb;ppb;ppb
01-01-2023 02:03;14,9;10;0,5;0;129;0;0,4;3,5;12,6;16
01-01-2023 03:03;13,7;8;0,5;0;129;0;0,3;1,5;8;9,5
01-01-2023 04:03;10,8;6;0,6;0;103;0;0,3;0,9;5,7;6,6
01-01-2023 05:03;8,2;5;1,2;0;140;0;0,3;0,8;5,4;6,2
01-01-2023 06:03;8,2;5;0,7;0;150;0;0,3;0,7;4,9;5,6
01-01-2023 07:03;0;9;0,4;0;136;0;0,3;0,8;5,1;6
01-01-2023 01:04;0;6;0,6;0;138;0;0,3;3;7,3;10,2
01-01-2023 02:04;0;4;0,5;0;148;0;0,6;13,7;11,1;24,8
01-01-2023 03:04;0;12;0,5;0;146;0;0,9;30,3;14;44,4
01-01-2023 04:04;0;12;0,1;0;218;0;1,1;38,4;20,5;59
01-01-2023 05:04;0;14;0,8;0;279;0;1;30,5;24,4;54,9
01-01-2023 06:04;0;11;0,4;0;102;0;0,8;21,1;23,4;44,5
01-01-2023 07:04;0;18;0,8;0;148;0;0,7;13,1;19,3;32,4
01-01-2023 01:05;0;13;1;0;251;0;0,6;8,8;18,9;27,8
01-01-2023 02:05;27,1;19;1,4;0;319;0;0,6;5,8;20,6;26,3
01-01-2023 03:05;19,3;19;3,8;0;298;0;0,6;4,1;18,2;22,3
01-01-2023 04:05;22,1;22;2,3;0;292;0;0,6;3,6;19;22,6
01-01-2023 05:05;19,1;15;1,2;0;157;0;0,7;6,6;23,9;30,6
01-01-2023 06:05;23;23;0,2;0;114;0;0,9;8,5;23,8;32,3
01-01-2023 07:05;22,3;18;0,3;0;321;0;1;14,5;23,9;38,4
01-01-2023 01:06;31,3;22;1,5;0;271;0;1,2;18,5;29,9;48,4
01-01-2023 02:06;22,5;20;0,9;0;296;0;0,9;13,9;28,7;42,6
01-01-2023 03:06;17;17;0,8;0;107;0;0,9;11,4;27,1;38,6
01-01-2023 04:06;0;17;0,5;0;125;0;0,7;9,4;19,3;28,6
01-01-2023 05:06;19;19;0,9;0;260;0;0,6;8;20,6;28,6
01-01-2023 06:06;12,8;9;2;0,1;273;0;0,6;3,2;24;27,2
01-01-2023 07:06;12;10;0,3;0;233;0;0,5;1,4;20,5;21,9
01-01-2023 01:07;12;12;0,2;0;330;0;0,4;1,5;14,7;16,1
01-01-2023 02:07;9,3;9;0,2;0;347;0;0,4;2;13,1;15,2
01-01-2023 03:07;8,2;6;0,4;0;272;0;0,4;2,6;14,8;17,4
01-01-2023 04:07;8,6;7;1,4;0;318;0;0,4;3,7;22,2;25,9
01-01-2023 05:07;13,9;11;0,4;0;304;0;0,5;10,1;25,5;35,6
01-01-2023 06:07;0;15;0,3;0;349;0;1;33;26,2;59,2
01-01-2023 07:07;0;17;0,7;0;288;0;1,1;35,5;31,2;66,7
01-01-2023 01:08;0;18;0,5;0;183;0;1,1;34,9;27,3;62,2
01-01-2023 02:08;0;23;0,4;0;266;0;0,7;14,4;22,5;36,9
01-01-2023 03:08;0;26;0,4;0;90;0;0,9;14,8;29,4;44,2
01-01-2023 04:08;26,9;26;0,4;0,1;279;0;0,5;9,9;20;29,9
01-01-2023 05:08;41,6;16;3,6;0;103;0;0,5;6,8;14;20,8
01-01-2023 06:08;31,3;14;3,1;0;108;0;0,5;6,8;16;22,8
01-01-2023 07:08;25,1;13;5,4;0;97;0;0,5;8,4;15,6;24
01-01-2023 01:09;18,5;12;4,5;0;64;0;0,6;9;18,6;27,6
01-01-2023 02:09;27,5;11;4,4;0;72;0;0,7;11,1;24;35,1
01-01-2023 03:09;25,5;20;2,8;0;47;0;0,7;10,4;21,5;31,9
01-01-2023 04:09;19,8;13;1;0,1;141;0;0,7;7;16,8;23,8
01-01-2023 05:09;14,8;9;0,6;0;112;0;0,7;10,6;16,1;26,7
01-01-2023 06:09;10,6;8;0,7;0;131;0;0,7;11,7;15,3;27
01-01-2023 07:09;13;13;0,7;0;149;0;0,7;11,9;15,2;27,1
01-01-2023 01:10;9;9;0,7;0;173;0;0,8;14,3;18;32,3
01-01-2023 02:10;0;11;0,4;0;173;0;0,7;11,7;18,8;30,5
01-01-2023 03:10;10,9;8;0,4;0;109;0;0,6;7,8;17,7;25,5
01-01-2023 04:10;14,9;10;0,4;0;336;0;0,5;3,5;15,3;18,8
01-01-2023 05:10;17,6;10;0,3;0;301;0;0,4;1,9;15,5;17,5
01-01-2023 06:10;12,9;10;1,1;0;328;0;0,4;2,4;18;20,4
01-01-2023 07:10;17,3;8;0,5;0;263;0;0,4;5,7;20,4;26,1
01-01-2023 01:11;12,4;7;1,9;0;279;0;0,6;13,7;24,4;38
01-01-2023 02:11;12,7;8;0,7;0,1;293;0;1,1;37,1;27,7;64,7
01-01-2023 03:11;18;18;0,4;0;4;0;1,3;40,4;32,2;72,6
01-01-2023 04:11;16,4;15;1,2;0;235;0;1,2;35,6;28,2;63,8
01-01-2023 05:11;31,7;13;0,7;0;354;0;0,9;19,5;28;47,6
01-01-2023 06:11;31,9;16;0,8;0;131;0;0,8;14,3;27;41,3
01-01-2023 07:11;23,1;13;1,1;0;97;0;0,8;10,7;29,8;40,5
01-01-2023 01:12;22,2;20;0,9;0;114;0;0,8;10,6;30,9;41,4
01-01-2023 02:12;34,2;21;2,4;0;326;0;0,7;8,5;26,3;34,8
01-01-2023 03:12;27,5;24;6,3;0;284;0;0,6;7,4;15,5;22,9
01-01-2023 04:12;20,8;19;2,6;0;304;0;0,6;9,3;18,5;27,8
01-01-2023 05:12;32,7;22;3,4;0;290;0;0,7;8,8;20,2;29
01-01-2023 06:12;34,1;21;2,7;0,1;287;0;0,9;9,2;24,5;33,7
01-01-2023 07:12;25,2;20;2,2;0;306;0;1;14,6;30,7;45,3
01-01-2023 01:13;24,2;24,2;1,9;0,1;324;0;0,9;11,8;28,6;40,4
01-01-2023 02:13;29,5;20;0,6;0;7;0;0,7;10,5;20,4;31
01-01-2023 03:13;21,9;15;0,8;0,1;124;0;0,5;7,8;12,6;20,3
01-01-2023 04:13;16,6;10;0,1;0,1;130;0;0,7;17,2;16,4;33,6
01-01-2023 05:13;13,8;11;0,8;0;102;0;0,6;10,8;24,1;34,9
01-01-2023 06:13;14,4;11;0,1;0,1;326;0;0,5;5,2;22,2;27,4
01-01-2023 07:13;13,1;10;0,4;0;94;0;0,5;15,6;17,7;33,3
01-01-2023 01:14;20,4;17;0,2;0,1;84;0;0,4;9,7;14,8;24,5
01-01-2023 02:14;15,9;15;0,7;0;303;0;0,5;4,4;19;23,4
01-01-2023 03:14;22,4;10;0,1;0,1;217;0;0,4;5,7;16,9;22,6
01-01-2023 04:14;19,4;11;0,5;0;97;0;0,6;16;17,4;33,4
01-01-2023 05:14;15;11;0,5;0,1;126;0;0,8;25,6;14,3;39,8
01-01-2023 06:14;16;16;0,6;0;139;0;1;31,5;16,3;47,8
01-01-2023 07:14;18,2;15;0,4;0;99;0;1,2;32,7;28,9;61,6
01-01-2023 01:15;21;21;1;0;98;0;1;22,2;27,2;49,4
01-01-2023 02:15;26;26;0,7;0,1;30;0;0,9;15,7;28,8;44,5
01-01-2023 03:15;25;0;1,1;0;41;0;0,8;0;0;0
01-01-2023 04:15;38,9;0;2,3;0,1;83;0;0,4;0;0;0
01-01-2023 05:15;27,7;13;3,1;0;89;0;0;3,8;8,1;11,9
01-01-2023 06:15;20,4;14;0,9;0;158;0;0,4;4,3;9,3;13,6
01-01-2023 07:15;27,1;17;2,1;0;80;0;0,5;4,6;8,4;13,1
01-01-2023 01:16;20,3;13;2,5;0;86;0;0,5;5,6;8,6;14,2
01-01-2023 02:16;15;15;2,9;0;78;0;0,5;5,5;8,6;14,1
01-01-2023 03:16;14,7;9;1,9;0;91;0;0,5;4,2;8,6;12,8
01-01-2023 04:16;17;17;0,8;0;124;0;0,6;10,7;11,7;22,4
01-01-2023 05:16;19,5;17;0,9;0;114;0;0,8;13,6;15,3;28,9
01-01-2023 06:16;0;24;0,5;0;129;0;1,2;37,5;20,9;58,4
01-01-2023 07:16;0;25;0,5;0;187;0;1,1;29,3;18;47,4
01-01-2023 01:17;21,9;19;0,1;0;164;0;0,8;18,8;20,4;39,2
01-01-2023 02:17;21;21;0,5;0;150;0;0,4;9,8;13,4;23,2
01-01-2023 03:17;22;15;0,3;0;134;0;0,4;12;12,4;24,3
01-01-2023 04:17;25,4;15;0,3;0;154;0;0,4;13,6;13,9;27,5
01-01-2023 05:17;18;17;0,6;0;152;0;0,3;4;9;13
01-01-2023 06:17;18;14;0,8;0;128;0;0,4;6,6;10,3;16,9
01-01-2023 07:17;17;17;0,7;0;140;0;0,6;19,9;12,8;32,7
01-01-2023 01:18;20;20;0,6;0;128;0;1,1;42,8;13,9;56,8
01-01-2023 02:18;22,9;20;0,3;0;163;0;1,5;71,4;19,9;91,2
01-01-2023 03:18;28,1;28;0,9;0;262;0;1,1;38,8;26,7;65,5
01-01-2023 04:18;40,6;40;1,3;0;93;0;1,1;35,6;31,6;67,2
01-01-2023 05:18;42,8;41;1,4;0;110;0;0,9;17,9;26,8;44,6
01-01-2023 06:18;46,6;35;1,3;0;297;0;0,9;12,5;35;47,5
01-01-2023 07:18;46,6;29;1,8;0;82;0;0,6;6,7;19,1;25,8
01-01-2023 01:19;48,1;14;1,8;0;299;0;0,8;9,8;27,8;37,6
01-01-2023 02:19;42;30;4,2;0;285;0;0,7;8,5;23,7;32,3
01-01-2023 03:19;50,5;28;3,5;0;281;0;0,6;8;21,7;29,7
01-01-2023 04:19;35,9;23;1,4;0;309;0;0,6;6,3;21,4;27,7
01-01-2023 05:19;35,9;18;1,5;0;286;0;0,7;5,8;19,3;25,1
01-01-2023 06:19;37,1;13;0,8;0;340;0;0,8;8,4;23,9;32,3
01-01-2023 07:19;26,9;18;1;0,2;93;0;1,1;20,7;28,9;49,5
01-01-2023 01:20;26,8;20;1;1,4;90;0;0,6;6,9;16,2;23,1
01-01-2023 02:20;19,8;8;0,7;0,7;111;0;0,5;7,8;14,8;22,7
01-01-2023 03:20;14,4;6;1;0,6;111;0;0,4;5,1;12,4;17,5
01-01-2023 04:20;13,5;5;0,6;0;110;0;0,4;2,3;10,2;12,5
01-01-2023 05:20;10,6;9;0,3;0,2;97;0;0,4;3,8;10,5;14,3
01-01-2023 06:20;8;7;1,1;0;111;0;0,3;1,7;6,8;8,5
01-01-2023 07:20;7;7;0,7;0;110;0;0,3;2,8;9,1;11,9
01-01-2023 01:21;7;7;1,1;0;111;0;0,3;2,3;6,2;8,5
01-01-2023 02:21;9,6;5;1,1;0;133;0;0,3;3,5;5,9;9,4
01-01-2023 03:21;7,9;6;0,5;0;145;0;0,5;12,4;9,3;21,7
01-01-2023 04:21;6,7;6;0,4;0;160;0;0,8;32,2;12;44,2
01-01-2023 05:21;7;7;0,5;0;126;0;0,9;27,3;14,2;41,4
01-01-2023 06:21;0;13;0,3;0;155;0;0,8;20,2;19,3;39,5
01-01-2023 07:21;0;14;0,8;0;109;0;0,7;17,6;18;35,7
01-01-2023 01:22;10,1;8;0,2;0;184;0;0,5;11,8;14,2;26
01-01-2023 02:22;8,9;8;1,6;0;269;0;0,6;8,8;16,6;25,4
01-01-2023 03:22;17,2;8;0,5;0,2;132;0;0,8;13,6;19,7;33,2
01-01-2023 04:22;15,6;11;0,8;10,7;118;0;0,8;17,5;15;32,4
01-01-2023 05:22;12,1;12;0,8;2,6;106;0;0,6;11;12,9;23,9
01-01-2023 06:22;9,5;9;1;0;90;0;0,9;16,5;21,5;38
01-01-2023 07:22;0;18;0,2;0;279;0;1,2;29,8;29,5;59,3
01-01-2023 01:23;0;24;0,4;0;209;0;1,2;27,1;25,4;52,5
01-01-2023 02:23;0;21;0,5;0;152;0;1,5;38,1;24,8;62,9
01-01-2023 03:23;0;32;0,5;0;141;0;1,5;38,7;22,6;61,4
01-01-2023 04:23;29;29;0,6;0;150;0;1;25,4;17,5;42,9
01-01-2023 05:23;23,7;20;0,5;0;158;0;1;21,8;13,8;35,5
01-01-2023 06:23;32,9;24;0,6;0;161;0;0,8;19,1;11,6;30,7
01-01-2023 07:23;23,5;12;0,4;0;171;0;0,7;16,7;14;30,7
01-01-2023 01:24;17,6;10;0,5;0;170;0;0,6;12,2;14,3;26,5
01-01-2023 02:24;18,5;8;0,3;0;171;0;0,6;10,8;12,4;23,2
01-01-2023 03:24;17,3;11;0,5;0;170;0;0,5;7,9;11,9;19,7
01-01-2023 04:24;18,9;9;0,4;0,7;228;0;0,5;7,6;11;18,5
01-01-2023 05:24;18,4;7;0,7;0,6;155;0;0,4;2,8;9,2;12
01-01-2023 06:24;13,6;6;0,6;0;154;0;0,4;3,6;9,8;13,3
01-01-2023 07:24;9,7;6;0,6;0;121;0;0,5;7,6;12,7;20,3
01-01-2023 01:25;9;9;0,6;0;130;0;0,5;8,5;12,3;20,9
01-01-2023 02:25;14,2;10;0,9;0;258;0;0,5;12,3;12,6;25
01-01-2023 03:25;11,2;8;0,6;0;204;0;0,3;2,2;4,6;6,8
01-01-2023 04:25;10,7;3;1,9;0;109;0;0,2;1,9;3,7;5,6
01-01-2023 05:25;7,9;0;1,2;0;204;0;0,2;1,9;3,8;5,7
01-01-2023 06:25;8,5;1;1,5;0;114;0;0,3;2,8;5;7,9
01-01-2023 07:25;7,1;1;2,2;0;99;0;0,3;1,4;3,7;5,1
01-01-2023 01:26;6;2;1,2;0;105;0;0,3;2,4;5,7;8,1
01-01-2023 02:26;4,7;2;1,1;0;116;0;0,4;3,1;6,3;9,4
01-01-2023 03:26;6,1;2;2;0;83;0;0,3;3,1;5,8;8,8
01-01-2023 04:26;6,1;2;1;0;107;0;0,3;2,6;5,5;8,1
01-01-2023 05:26;5,6;0;1,3;0;103;0;0,4;4,5;8,8;13,3
01-01-2023 06:26;7;2;1,9;0;101;0;0,5;6,3;9,1;15,4
01-01-2023 07:26;6,3;6;0,9;0;74;0;0,4;6,6;8,2;14,8
01-01-2023 01:27;5,6;5;1,1;0;89;0;0,4;4,2;6,7;10,9
01-01-2023 02:27;5;3;1;0;135;0;0,4;3,8;7,2;11
01-01-2023 03:27;5;3;1;0;120;0;0,4;4,4;7,1;11,5
01-01-2023 04:27;4,9;4;0,8;0;135;0;0,4;5,5;6,8;12,3
01-01-2023 05:27;4,7;3;0,7;0;154;0;0,4;3,5;6,7;10,2
01-01-2023 06:27;5,2;1;1,1;0;135;0;0,4;3,5;7,8;11,3
01-01-2023 07:27;5,2;0;0,6;0;160;0;0,3;3,7;6,6;10,3
01-01-2023 01:28;5;2;0,5;0;143;0;0,4;4,8;7,4;12,2
01-01-2023 02:28;4,9;2;0,4;0;98;0;0,5;10,4;9;19,4
01-01-2023 03:28;5;5;0,3;0;144;0;0,8;25,6;11,4;37,1
01-01-2023 04:28;0;15;0,5;0;118;0;0,7;18,3;11,7;30
01-01-2023 05:28;0;17;0;0;246;0;1;35,5;23,6;59,1
01-01-2023 06:28;0;24;0,6;0;275;0;1;30,9;30,1;61,1
01-01-2023 07:28;0;22;0,9;0;253;0;0,8;17,7;25,2;42,9
01-01-2023 01:29;13,9;11;0,6;0;343;0;0,6;12,4;17,9;30,3
01-01-2023 02:29;27,9;8;0,7;0;303;0;0,5;6,8;14,7;21,5
01-01-2023 03:29;20,8;8;0,7;0;101;0;0,4;2,9;7,2;10
01-01-2023 04:29;14,8;5;1,3;0;203;0;0,3;2,9;5,2;8,2
01-01-2023 05:29;10,9;2;1,5;0;282;0;0,4;4,6;7,7;12,3
01-01-2023 06:29;8,1;3;3,9;0;279;0;0,6;5,4;14,7;20,1
01-01-2023 07:29;17,1;16;2,1;2,8;276;0;0,8;3,7;22,6;26,3
01-01-2023 01:30;16,2;0;0,4;1,8;272;0;0,8;4,1;24;28,1
01-01-2023 02:30;13,8;13;0,5;0,2;111;0;0,9;7,5;30,3;37,8
01-01-2023 03:30;13,8;0;0,6;1,9;333;0;0,9;9,2;29;38,2
01-01-2023 04:30;17,4;13;0,2;0,8;298;0;1;12,8;30,4;43,1
01-01-2023 05:30;13,3;0;0,3;0,1;234;0;1;15,7;25,3;41
01-01-2023 06:30;18,2;14;0,4;8,2;322;0;0,7;9,2;24,2;33,4
01-01-2023 07:30;13,8;10;0;2,6;124;0;0,5;3,3;24,2;27,4
01-01-2023 01:31;13,7;11;0,2;0,2;41;0;0,4;2,3;18,7;21
01-01-2023 02:31;10,3;8;0,2;0,2;310;0;0,4;1,2;13,4;14,6
01-01-2023 03:31;8;7;0,3;0;351;0;0,4;1,2;14;15,3
01-01-2023 04:31;10,1;8;0,2;0;129;0;0,4;2,8;12;14,7
01-01-2023 05:31;8,3;7;0,4;0;116;0;0,5;14;8,4;22,5
01-01-2023 06:31;7;7;0,4;0;158;0;1;37,7;10,7;48,4
01-01-2023 07:31;0;10;0,4;0;135;0;1,4;49;13,2;62,2
01-01-2023 01:32;12,7;12;0,3;0;311;0;1,8;70;34,1;104
01-01-2023 02:32;0;17;0,1;0,5;49;0;1,5;50,6;34;84,6
01-01-2023 03:32;0;24;1,1;0,5;99;0;1,4;47,7;32,6;80,3
01-01-2023 04:32;20;20;0,6;0,7;93;0;0,9;27,1;23;50,1
01-01-2023 05:32;36,1;9;1,2;1,2;79;0;0,7;17,7;19;36,6
01-01-2023 06:32;26,5;11;0,8;0,5;139;0;0,5;9,3;12,8;22
01-01-2023 07:32;19;8;0,7;0;252;0;0,7;13,5;17;30,4
01-01-2023 01:33;17,8;7;1,4;0,4;272;0;1;14,5;28,9;43,4
01-01-2023 02:33;23;23;1;9,2;127;0;1;13,7;33,9;47,6
01-01-2023 03:33;25;25;0,9;5,4;93;0;1,5;26,6;37;63,5
01-01-2023 04:33;0;24;0,7;1,6;149;0;1,4;25,5;30,7;56,1
01-01-2023 05:33;0;21;0,9;0,1;150;0;0,8;17,4;18,7;36,1
01-01-2023 06:33;18,9;10;0,6;0,1;138;0;0,7;18,8;15,1;33,9
01-01-2023 07:33;13,5;8;1,1;0;145;0;0,6;14,2;10,4;24,6
01-01-2023 01:34;10,4;5;0,8;0;145;0;0,6;13,3;11,8;25,1
01-01-2023 02:34;8,9;6;0,4;0;157;0;0,5;7,7;11,1;18,8
01-01-2023 03:34;8,3;7;0,7;1,2;144;0;0,4;3,1;8,2;11,3
01-01-2023 04:34;7,2;6;0,4;0,6;165;0;0,6;5,9;16,7;22,6
01-01-2023 05:34;0;7;0,3;0,4;121;0;0,5;2,3;15;17,3
01-01-2023 06:34;7;7;0,5;0;145;0;0,4;1,8;9,8;11,6
01-01-2023 07:34;8,2;6;0,5;0;132;0;0,4;5,8;10,9;16,8
01-01-2023 01:35;7,1;4;1;0;137;0;0,5;9;9,6;18,6
01-01-2023 02:35;6,4;4;0,8;0;168;0;0,7;22;11,3;33,3
01-01-2023 03:35;8;8;0,4;0;163;0;1,7;71,5;19,4;90,9
01-01-2023 04:35;16;16;1,4;0;95;0;1,7;64,8;27,9;92,7
01-01-2023 05:35;18,9;14;0;0;127;0;1,9;58,8;44,4;103,2
01-01-2023 06:35;0;26;1,3;0;114;0;0,5;6,6;8;14,6
01-01-2023 07:35;12,8;1;2,7;0;96;0;0,4;4,3;5,6;10
01-01-2023 01:36;14,9;3;2,6;0;102;0;0,4;3;4,6;7,5
01-01-2023 02:36;12,8;3;0,9;0;207;0;0,5;6,8;7,9;14,7
01-01-2023 03:36;9,1;1;1,8;0;106;0;0,4;6;6,3;12,3
01-01-2023 04:36;7,3;6;0,7;0;133;0;0,5;6,4;8,3;14,8
01-01-2023 05:36;9,5;5;2,8;0;302;0;0,9;11,2;26,7;37,8
01-01-2023 06:36;17;17;1,4;0;294;0;1,2;16,5;31;47,5
01-01-2023 07:36;17,1;12;1,3;0;299;0;1,4;22,8;35,1;58
01-01-2023 01:37;15;15;0,4;0;348;0;1,4;28,4;36;64,4
01-01-2023 02:37;0;20;0,3;0;65;0;1,2;30,9;24,3;55,1
01-01-2023 03:37;12,8;11;0,8;0;139;0;0,9;23,6;15,7;39,2
01-01-2023 04:37;21,4;9;0,5;0;119;0;0,9;20,6;18,1;38,7
01-01-2023 05:37;17;17;0,7;0;140;0;0,7;16,9;16,9;33,8
01-01-2023 06:37;12,5;10;0,4;0,3;132;0;0,5;5,2;16,2;21,5
01-01-2023 07:37;11,5;11;0,5;1,4;139;0;0,4;2,7;10,8;13,5
01-01-2023 01:38;12,8;7;1;0,6;151;0;0,3;1;5,7;6,6
01-01-2023 02:38;9,5;5;0,6;0,3;164;0;0,2;1,2;4,2;5,5
01-01-2023 03:38;7,2;4;0,5;0,2;141;0;0,3;4,4;8,4;12,8
01-01-2023 04:38;5,5;5;0,7;0,5;157;0;0,5;12,2;10,4;22,6
01-01-2023 05:38;9,2;5;0,5;0;218;0;1;38,5;15,3;53,7
01-01-2023 06:38;9,9;8;0,4;0;155;0;1,5;51,6;18,7;70,3
01-01-2023 07:38;0;13;0,5;0;69;0;0;0;0;0
01-01-2023 01:39;0;19;0,6;0;300;0;0;0;0;0
01-01-2023 02:39;20;20;0,8;0;101;0;0;0;0;0
01-01-2023 03:39;12,8;8;0,5;0,1;31;0;0;16,8;19,7;36,5
01-01-2023 04:39;13,6;5;1;0;86;0;0,4;0;0;0
01-01-2023 05:39;21,4;7;0,8;0;141;0;0,4;0;0;0
01-01-2023 06:39;15,7;4;0,5;0;177;0;0,4;0;0;0
01-01-2023 07:39;15,1;1;1,9;0;102;0;0,3;0;0;0
01-01-2023 01:40;11,1;1;1,3;0;109;0;0,4;0;0;0
01-01-2023 02:40;8,4;6;0,1;0;189;0;1;0;0;0
01-01-2023 03:40;8;8;1,5;0;108;0;0,4;0;0;0
01-01-2023 04:40;5,2;5;2;0;96;0;0,4;0;0;0
01-01-2023 05:40;6,8;2;1,7;0;100;0;0,4;0;0;0
01-01-2023 06:40;5,7;3;2;0;98;0;0,4;0;0;0
01-01-2023 07:40;5;4;1,4;0;91;0;0,4;0;0;0
01-01-2023 01:41;5,1;4;0,8;0;151;0;0,4;0;0;0
01-01-2023 02:41;6;6;0,8;0;122;0;0,5;0;0;0
01-01-2023 03:41;9,2;6;0,3;0;136;0;0,6;0;0;0
01-01-2023 04:41;9;9;0,4;0;136;0;0,6;0;0;0
01-01-2023 05:41;16;16;0,5;0;142;0;0,8;0;0;0
01-01-2023 06:41;20,5;19;0,2;0;165;0;0,8;0;0;0
01-01-2023 07:41;20,4;20;0,4;0;132;0;1;0;0;0
01-01-2023 01:42;30,6;20;0,7;0;154;0;1,3;0;0;0
01-01-2023 02:42;34,3;19;0,2;0;196;0;1,4;0;0;0
01-01-2023 03:42;32,3;21;0,3;0;328;0;1,2;0;0;0
01-01-2023 04:42;38,6;17;0,8;0;88;0;1;0;0;0
01-01-2023 05:42;28,2;15;1,3;0;122;0;0,4;5,7;7,6;13,3
01-01-2023 06:42;22,7;7;1,5;0;206;0;0,4;6,5;6,9;13,4
01-01-2023 07:42;19,9;4;1,6;0;187;0;0,4;5,5;6,9;12,3
01-01-2023 01:43;19,1;3;1,6;0;135;0;0,4;4,9;5,9;10,7
01-01-2023 02:43;15,7;0;2,2;0;110;0;0,3;4,1;5,3;9,4
01-01-2023 03:43;14,6;0;2,6;0;47;0;0,5;6,5;11,9;18,3
01-01-2023 04:43;11,2;11;1,5;0;307;0;0,9;10,2;29,5;39,7
01-01-2023 05:43;22,8;20;0,6;0;299;0;1,3;16,4;35,1;51,5
01-01-2023 06:43;17,9;16;0,5;0;97;0;2;35,5;45,4;80,9
01-01-2023 07:43;0;30;0,4;0;267;0;1,5;31,9;38,2;70,1
01-01-2023 01:44;29,5;19;0,6;0;301;0;1,6;48,7;37,9;86,6
01-01-2023 02:44;27,4;27;0,2;0;257;0;1,5;47,3;32,7;80
01-01-2023 03:44;28,4;20;1,3;0;78;0;0,6;10,8;14;24,8
01-01-2023 04:44;27,6;6;0,4;0;320;0;0,9;21,1;21,4;42,5
01-01-2023 05:44;19,8;15;1,7;0;314;0;0,6;17,1;24,8;41,9
01-01-2023 06:44;25,8;14;0,1;0;126;0;0,5;6,9;22,4;29,3
01-01-2023 07:44;20,5;11;0,2;0;114;0;0,5;9,2;18,6;27,8
01-01-2023 01:45;18;18;0,1;0;194;0;0,5;9,6;16,5;26,1
01-01-2023 02:45;18,4;18;0,4;0;149;0;0,5;10,2;11,8;22,1
01-01-2023 03:45;14,2;8;0,6;0;178;0;0,7;23,2;13,2;36,4
01-01-2023 04:45;15;15;0,4;0;141;0;1,1;56,7;14,8;71,5
01-01-2023 05:45;29,1;24;0,6;0;218;0;1,4;65,8;22;87,8
01-01-2023 06:45;36,1;24;0,3;0;279;0;1,2;49;27,9;76,9
01-01-2023 07:45;36,4;29;0,8;0;286;0;1,1;29,8;29,4;59,2
01-01-2023 01:46;34,5;32;0,9;0;288;0;1;14,3;33,6;47,9
01-01-2023 02:46;35,7;31;0,9;0;72;0;0,9;8,1;30,1;38,2
01-01-2023 03:46;37,7;28;1,3;0;199;0;0,5;5,1;16,5;21,6
01-01-2023 04:46;36;8;2;4,9;298;0;0,9;8,1;27,4;35,5
01-01-2023 05:46;42,9;27;0,7;0;130;0;0,9;5,3;27,5;32,8
01-01-2023 06:46;35,3;28;1,6;0,2;318;0;1;13,9;34,9;48,8
01-01-2023 07:46;30,1;22;1,5;0;328;0;0,8;8,8;30,1;38,9
01-01-2023 01:47;25;25;0,3;0;351;0;0,8;4,7;28,9;33,5
01-01-2023 02:47;29,5;19;0,5;0;160;0;1,1;11,6;34,2;45,7
