;PM10;PM2.5;Vel Viento 10M;Precipitacion;Dir Viento 10M;OZONO;CO;NO;NO2;NOX;SO2;Temperatura;Rad Solar;;HR;
;µg/m3;µg/m3;m/s;mm;Grados;ppb;ppm;ppb;ppb;ppb;ppb;°C;W/M²;;%;
01-01-2023 04:20;30;17;1,1;0;104;14,5;0,2;7,6;5,9;13,5;0;14,4;168;;72,35;
01-01-2023 05:20;17;9;1,6;0;111;18,6;0,1;3,2;2,2;5,4;0;16,3;300;;62,15;
01-01-2023 01:21;18;10;1,7;0;117;21,2;0,1;3,2;2,3;5,5;0;17,6;308;;55,63;
01-01-2023 02:21;16;10;1,9;0;106;18,5;0,1;0;0;0;0;19,2;451;;51,35;
01-01-2023 03:21;12;12;1,8;0;106;9,9;0;0;0;0;0;19,2;334;;50,28;
01-01-2023 04:21;18;13;1,9;0;104;0;0;0;0;0;0;18,9;284;;51,36;
01-01-2023 05:21;22;15;2;0;116;0;0;0;0;0;0;20,6;523;;48,04;
01-01-2023 01:22;0;11;1,9;0;122;21,1;0,1;3,1;2,4;5,5;0;21;389;;45,52;
01-01-2023 02:22;18;12;1,7;0;146;19,3;0,1;3,4;3,4;6,8;0;20,6;264;;46,18;
01-01-2023 03:22;19;11;1,5;0;138;17,3;0,1;3,2;4,4;7,6;0;17,5;67;;54,11;
01-01-2023 04:22;27;13;1,3;0;160;16;0,2;2;4,9;6,9;0;15,7;1;;61,1;
01-01-2023 05:22;22;10;1,1;0;130;13;0,2;4,2;7,4;11,6;0;15;0;;63,87;
01-01-2023 01:23;25;16;0,5;0;167;6,7;0,2;3,6;10,6;14,2;0;14;0;;67,87;
01-01-2023 02:23;28;14;0,3;0;320;1,9;0,4;16,9;13,7;30,6;0;13,4;0;;70,56;
01-01-2023 03:23;36;20;0,4;0;208;4,1;0,4;21,9;12;33,9;0;13,7;0;;71,88;
01-01-2023 04:23;26;15;0,6;0;308;1,5;0,4;15,3;13,1;28,4;0;13,1;0;;73,53;
01-01-2023 05:23;33;21;0,6;0;337;2,8;0,3;12,4;12,4;24,8;0;12,8;0;;74,4;
01-01-2023 01:24;31;14;0,7;0;347;0,6;0,4;27;12,9;39,9;0;12,2;0;;77,07;
01-01-2023 02:24;31;23;0,3;0;304;0,5;0,5;54,2;11;65,3;0;11,5;0;;79,67;
01-01-2023 03:24;31;25;0,3;0;302;0,5;0,4;53;10,6;63,6;0;11,6;0;;80,59;
01-01-2023 04:24;28;14;0,5;0;95;2;0,3;36,7;9,8;46,6;0;11,5;0;;79,85;
01-01-2023 05:24;30;14;0,7;0;336;0,6;0,3;23,7;12;35,8;0;11,1;0;;79,76;
01-01-2023 01:25;26;16;0,7;0;312;0,7;0,5;56,5;11,4;67,9;0;10,1;0;;81,06;
01-01-2023 02:25;34;22;0,6;0;307;1,7;0,4;29,1;10,1;39,2;0;10,3;15;;83,45;
01-01-2023 03:25;28;16;0,8;0;301;6,3;0,3;16,4;8,2;24,6;0;13,8;211;;76,09;
01-01-2023 04:25;33;24;0,9;0;315;11,9;0,3;8,8;6,9;15,7;0;16,4;280;;60,51;
01-01-2023 05:25;30;21;0,9;0;283;17,7;0,3;8,2;6,5;14,7;0;18,4;445;;53,86;
01-01-2023 01:26;28;20;0,9;0;353;22,5;0,2;3,2;4,2;7,4;0;19,1;267;;50,89;
01-01-2023 02:26;31;15;1,5;0;39;21;0,1;3,6;3,4;6,9;0;20;291;;49,82;
01-01-2023 03:26;32;16;1,6;0;87;22,9;0,1;3,6;3,3;7;0;21,3;384;;45,54;
01-01-2023 04:26;27;13;1,7;0;180;26,7;0,2;3,2;5,3;8,6;0;20,7;227;;44,77;
01-01-2023 05:26;33;20;1,1;0;266;35,5;0,3;2,2;8,4;10,6;0;20,8;191;;46,89;
01-01-2023 01:27;41;22;3,1;0,6;240;37,3;0,2;0,6;6,1;6,6;0;16,7;37;;64,2;
01-01-2023 02:27;45;25;0,6;0;107;13,4;0,5;6,4;19,6;26;0;14,4;8;;72,32;
01-01-2023 03:27;38;19;0,7;0;183;25,6;0,3;1,4;11,5;12,8;0;15;0;;75,44;
01-01-2023 04:27;37;30;0,6;0;185;23,1;0,3;2;11,8;13,8;0;14,6;0;;76,06;
01-01-2023 05:27;37;27;1;0;157;9,2;0,4;5,2;17,5;22,7;0;13,6;0;;74,54;
01-01-2023 01:28;29;18;0,6;0;173;4,6;0,5;8,8;23,3;32,2;0;13,2;0;;75,24;
01-01-2023 02:28;23;12;0,3;0;143;3,5;0,6;9,5;21,4;30,9;0;13;0;;76;
01-01-2023 03:28;24;15;0,3;0;319;0,9;0,6;21,2;21,2;42,4;0;13;0;;78,09;
01-01-2023 04:28;28;22;0,4;0;304;1,1;0,6;31,6;18,9;50,5;0;13;0;;79,46;
01-01-2023 05:28;27;17;0,4;0;313;2,8;0,4;4,2;14,5;18,7;0;13,2;0;;80,72;
01-01-2023 01:29;25;14;0,5;0;269;3,5;0,2;3,3;12,9;16,1;0;13,3;0;;78,71;
01-01-2023 02:29;25;17;0,7;0;358;6,8;0,1;2,5;6,9;9,5;0;12,8;0;;76,24;
01-01-2023 03:29;12;11;0,8;0;352;3,6;0,1;4,1;9,7;13,8;0;12;0;;78,15;
01-01-2023 04:29;19;9;0,8;0;338;3,7;0,1;5,4;9,3;14,7;0;11,6;0;;78,14;
01-01-2023 05:29;23;8;0,4;0;215;2,8;0,2;6,3;9,7;16;0;11,8;0;;77,73;
01-01-2023 01:30;21;9;0,3;0;356;1,3;0,4;21,4;10;31,4;0;11,9;10;;78,26;
01-01-2023 02:30;24;11;0,7;0;22;7,9;0,2;9,4;6,8;16,2;0;13,7;82;;72,77;
01-01-2023 03:30;18;7;0,7;0;57;13,3;0,1;3,3;2,4;5,7;0;15,9;172;;64,02;
01-01-2023 04:30;19;5;1;0;326;13,1;0,2;5,3;3,5;8,8;0;17;265;;57,43;
01-01-2023 05:30;23;8;0,9;0;315;15,4;0,1;4;2,5;6,5;0;18,6;316;;54,14;
01-01-2023 01:31;17;6;1;0;315;18,3;0,1;2,6;1,9;4,5;0;19,5;350;;52,67;
01-01-2023 02:31;20;10;1,1;0;273;19,8;0,1;1;0,4;1,4;0;20,1;261;;48,59;
01-01-2023 03:31;14;7;1,2;1,4;297;19,6;0,1;1;2;3;0;16,7;78;;60,6;
01-01-2023 04:31;23;18;0,8;1,2;169;9,9;0,3;7,3;10,4;17,7;0;14,2;36;;72,38;
01-01-2023 05:31;25;18;0,7;2,7;156;7,4;0,5;12,9;13,8;26,7;0;13,1;24;;76,76;
01-01-2023 01:32;26;17;0,6;0,3;157;7,3;0,6;11;15,4;26,5;0;13,4;45;;78,68;
01-01-2023 02:32;22;18;0,4;0;269;4,8;0,5;5,2;15,4;20,7;0;13,7;6;;77,07;
01-01-2023 03:32;25;12;0,4;0;350;0,5;0,8;19,5;18,7;38,2;0;13,1;0;;80,77;
01-01-2023 04:32;24;16;0,2;0;255;0,5;1;37,4;16,3;53,7;0;13,1;0;;82,1;
01-01-2023 05:32;36;20;0,4;0;336;1,8;0,9;33,5;13,2;46,7;0;12,9;0;;82,81;
01-01-2023 01:33;27;17;0,4;0;333;6,2;0,4;12,1;7,6;19,6;0;12,5;0;;82,44;
01-01-2023 02:33;27;17;0,6;0;323;3,8;0,2;3;10,8;13,8;0;12,6;0;;83,4;
01-01-2023 03:33;24;14;0,8;0;337;3,1;0,2;1,5;10,7;12,3;0;12,4;0;;83,24;
01-01-2023 04:33;22;9;0,7;0;324;4;0,2;1,9;10,8;12,7;0;12,3;0;;82,97;
01-01-2023 05:33;25;12;0,7;0;317;4,3;0,2;3,2;9,7;12,8;0;12,4;0;;80,99;
01-01-2023 01:34;20;17;0,4;0;323;3,2;0,2;1,2;9,9;11,2;0;12,3;0;;82,52;
01-01-2023 02:34;26;20;0,2;0;329;0,7;0,3;11,3;9,7;21;0;12,2;0;;82,95;
01-01-2023 03:34;25;12;0,2;0,5;319;0,7;0,2;4,2;9,9;14,1;0;12,3;0;;83,59;
01-01-2023 04:34;24;13;0,5;0,7;353;0,6;0,4;28,4;8,3;36,7;0;12,1;0;;83,79;
01-01-2023 05:34;26;16;0,5;0,3;330;2,4;0,2;6,5;8,1;14,6;0;11,9;1;;84,79;
01-01-2023 01:35;22;13;0,7;0;347;6;0,2;3,4;5,8;9,2;0;12,4;33;;84,46;
01-01-2023 02:35;22;13;1,1;0;346;7,9;0,2;6,8;5,7;12,5;0;13,6;144;;80,84;
01-01-2023 03:35;19;10;0,8;0;295;15,5;0,1;2,4;1,6;4,1;0;16,2;233;;68,25;
